wl	n	k
0.0	4.2624330303729785	0.0
0.0563	4.262776372127466	0.005880070615531811
0.1125	4.263769975577343	0.011748266499344236
0.1688	4.265457927766974	0.017628036368445458
0.225	4.267794687450849	0.023499329584347632
0.2813	4.270823731185817	0.029376407543510383
0.3375	4.274543141745392	0.035247304673146754
0.3938	4.2789775978834825	0.041118559089259626
0.45	4.28410623934038	0.046977054415854584
0.5063	4.289961391581239	0.052855545410859295
0.5625	4.296566819646326	0.05872410960244752
0.6188	4.30392622638548	0.0645971631541942
0.675	4.3120704750948455	0.07046123884618806
0.7313	4.321047611004984	0.07633970497770587
0.7875	4.330833406512064	0.08220295581770079
0.8438	4.341508866736349	0.08808922283494786
0.9	4.353083739659725	0.0939766991270053
0.9563	4.3656110153763175	0.09987823478286721
1.0125	4.379132384782983	0.1057800799058851
1.0688	4.393706647196568	0.11171069721997279
1.125	4.4093646653483045	0.1176559138414138
1.1813	4.426205157649202	0.1236259222270113
1.2375	4.4442716639752975	0.1296306923969387
1.2938	4.463683955602965	0.13569516574852888
1.35	4.48452295277268	0.1418013584309854
1.4063	4.5068852813047044	0.14798145350768732
1.4625	4.530928251492346	0.1542472340321826
1.5188	4.556774270662013	0.16062765447332927
1.575	4.5846353891569365	0.16715330940165374
1.6313	4.614687810701145	0.17384714697891654
1.6875	4.647192724582501	0.1807823618809073
1.7438	4.682453599192451	0.1880101394836051
1.8	4.7208529975736	0.19563641377831748
1.8563	4.762846377285525	0.2038061829699039
1.9125	4.809029496026505	0.2127306812347937
1.9688	4.860159719728418	0.22277002048484743
2.025	4.91724579590291	0.23451227861492135
2.0813	4.981436337860352	0.24908681026335772
2.1375	5.0536021970601785	0.2687532539168044
2.1938	5.13153961472757	0.29821184713788995
2.25	5.19912514170591	0.34429502765717285
2.3063	5.222404991041559	0.39846351511065836
2.3625	5.240203402709652	0.42756892202369545
2.4188	5.31171374358791	0.4423112575920053
2.475	5.423001754530704	0.4688532502163476
2.5313	5.538586163478668	0.5185167191406003
2.5875	5.649473199834999	0.5668055906744118
2.6438	5.80435797628664	0.6255361240581792
2.7	6.000802657975574	0.7493904886510286
2.7563	6.158288487984182	0.9705129434549582
2.8125	6.161836640081949	1.2743290718377636
2.8688	5.971941879758951	1.5707019531352433
2.925	5.624169657187613	1.7738725613835178
2.9813	5.271079234887122	1.8277749973371913
3.0376	4.959381615851245	1.8381459125124315
3.0938	4.763290522654602	1.7163417069687275
3.1501	4.8687152164001795	1.60749402530267
3.2063	4.941604224555219	1.6531782954176695
3.2626	4.850218847029873	1.6735037734164329
3.3188	4.8056435291646915	1.642909109657083
3.3751	4.8290027792610655	1.6660043861929497
3.4313	4.82950768739412	1.7417745671178828
3.4876	4.8466804994257	1.8573513740445144
3.5438	4.781506483406617	2.045047408173941
3.6001	4.555340770619896	2.248718411468726
3.6563	4.300869354833982	2.4379135819821425
3.7126	4.070072590293942	2.5766593488688643
3.7688	3.804082638708267	2.6536435202969613
3.8251	3.565707565408223	2.6547949927229215
3.8813	3.4386643722169783	2.5692590743422348
3.9376	3.3734920887127133	2.4184115347150024
3.9938	3.4037593607874577	2.2149712145526
4.0501	3.532065672922962	2.063835114237185
4.1063	3.702036483229202	2.011323867655546
4.1626	3.8410240758636824	2.0701046827125293
4.2188	3.8187145135158773	2.1952825067875446
4.2751	3.6690066692290992	2.306910486107472
4.3313	3.525288761248194	2.3921216532765177
4.3876	3.382334310666973	2.4828563799433185
4.4438	3.1894228148532453	2.5186478458395998
4.5001	3.0170551866205324	2.4840016718275675
4.5563	2.9539205198190777	2.357348246575454
4.6126	3.0310613856775817	2.2588331492924825
4.6688	3.1037189192316017	2.2683486409724716
4.7251	3.095457960316546	2.36508261704688
4.7813	2.946021054423129	2.519041652320781
4.8376	2.6831982859168915	2.6580245973994243
4.8938	2.44981575744222	2.636425511616501
4.9501	2.3306581579689807	2.514845777884365
5.0063	2.2857029086602094	2.337868617821843
5.0626	2.344793545396828	2.1374927674193196
5.1188	2.443192359630669	1.9745176131823694
5.1751	2.5718526839746554	1.8559084188993158
5.2313	2.6825933256321575	1.8050835363294944
5.2876	2.7644034672680045	1.7666293143424994
5.3438	2.8671397175907374	1.73378775551318
5.4001	2.9322138435909224	1.7598670411340191
5.4563	2.9120806510974333	1.8071012826136477
5.5126	2.9012258769403205	1.80192252543181
5.5688	2.9447348242378766	1.783322227564108
5.6251	3.004143600178483	1.7727640664800457
5.6813	3.055964654321418	1.8041483338054545
5.7376	3.084477176549771	1.8533592991176358
5.7938	3.0924347391459643	1.9072432901477427
5.8501	3.0588590738375556	1.9181576670319633
5.9064	3.021519159594807	1.880810982393768
5.9626	3.0217955742514473	1.803303540668252
6.0189	3.1027133759959167	1.712559601641777
6.0751	3.2480912941410383	1.661363818665702
6.1314	3.361310184264031	1.7261748444815854
6.1876	3.327224983049616	1.8535482630481714
6.2439	3.222005122826948	1.8909861620199804
6.3001	3.20591522353738	1.8221070477386987
6.3564	3.279941742750532	1.7850304029057797
6.4126	3.2948567250904066	1.833037743579129
6.4689	3.2553449940778973	1.8475872959800912
6.5251	3.2985562888590896	1.7831889183843936
6.5814	3.449693209274293	1.7254022702418363
6.6376	3.636767500488131	1.7460561625402469
6.6939	3.760244404662105	1.8475571587558868
6.7501	3.770924551916261	1.9901138396258298
6.8064	3.667619349556897	2.1591934231209087
6.8626	3.4510431268751915	2.345522989529006
6.9189	3.230687533550256	2.400861486250566
6.9751	3.173782015812173	2.295356112151048
7.0314	3.278795415263893	2.1728484702790434
7.0876	3.4529590084639956	2.131707216942102
7.1439	3.6243159903111937	2.171246171934581
7.2001	3.75199798856684	2.305942649148431
7.2564	3.7417415052783753	2.5193898192362436
7.3126	3.6453248572879264	2.7077755323063513
7.3689	3.5439867623900936	2.879422890230371
7.4251	3.4089641616427153	3.0026252472224044
7.4814	3.2969225657244	3.0450811696343143
7.5376	3.253375290879988	3.0530409717047338
7.5939	3.1698808144840047	3.179927226481208
7.6501	2.9255131036711295	3.3079002531843726
7.7064	2.6832718010279932	3.3068108924643305
7.7626	2.545878012472695	3.2087190984458327
7.8189	2.4963300249468374	3.124288566676322
7.8751	2.485246183391948	3.0892584920120543
7.9314	2.480175132025714	3.0846553854357337
7.9876	2.459979563091199	3.022864602847718
8.0439	2.5449457872632535	2.875805609126725
8.1001	2.7549314173648627	2.838709953074302
8.1564	2.887354899330229	3.037843202583902
8.2126	2.8075204826922606	3.328501426579937
8.2689	2.591106878393372	3.5173402215358105
8.3251	2.3688091277191434	3.5864627234277404
8.3814	2.1691602500661458	3.603679581596036
8.4376	2.0047492272293264	3.5170011845812015
8.4939	1.979357211487363	3.3697228641541788
8.5501	1.9931619105109233	3.3713298716284124
8.6064	1.8700108322362647	3.4487770356335803
8.6626	1.6915881365231749	3.4225324630796905
8.7189	1.5670890053604725	3.2805951790617875
8.7751	1.533032793524138	3.090369508039287
8.8314	1.5715915689299091	2.9250387717601143
8.8877	1.6214918824637827	2.819260999798887
8.9439	1.6457684573478195	2.73618384444344
9.0002	1.677217434821231	2.6373900150270435
9.0564	1.7490213694511214	2.543198756770035
9.1127	1.8431870984252512	2.492443349615929
9.1689	1.93078432202846	2.4924462778733503
9.2252	1.9875722972728322	2.5469290169953336
9.2814	1.9707800123021597	2.6094224371303074
9.3377	1.9165550460415066	2.6150623890164564
9.3939	1.8885189522199226	2.5854151693406324
9.4502	1.8656002446300588	2.568821733981313
9.5064	1.8464563052877223	2.520096093326528
9.5627	1.9022742575932963	2.4598523966449424
9.6189	1.9709179772632224	2.5039752627916094
9.6752	1.925603814974951	2.609440876807657
9.7314	1.8023287125678054	2.634171054361938
9.7877	1.7260599404888048	2.5586908099058547
9.8439	1.7209664878940467	2.4715477463165727
9.9002	1.7428883294684603	2.4103557786681353
9.9564	1.7675230576860805	2.3867228268781036
10.0127	1.7486455674200063	2.391483063866364
10.0689	1.7013036507204924	2.3641133805887793
10.1252	1.6820528800499068	2.2975930121700596
10.1814	1.695518171991147	2.217296194511867
10.2377	1.7492479450117278	2.128471503566965
10.2939	1.8495098568080308	2.0720101876797434
10.3502	1.9526560004839206	2.088909497448783
10.4064	1.9870907951136214	2.180311802078854
10.4627	1.9458617756307734	2.2586075215384454
10.5189	1.9042378463350482	2.2866362938466565
10.5752	1.8655731649226004	2.319819822784256
10.6314	1.7868162544771526	2.3416016701038127
10.6877	1.6997737539346442	2.2954095017755045
10.7439	1.6624014404289507	2.1930809729846787
10.8002	1.687730119313804	2.0897587283691212
10.8564	1.741366278130951	2.0301806526662234
10.9127	1.7698167868195471	2.0139977500945605
10.9689	1.7758511839369653	1.9844068874141354
11.0252	1.814229571401697	1.9417349325244837
11.0814	1.871784615048343	1.943789338299398
11.1377	1.865287772805388	2.004867785401671
11.1939	1.7922829171979757	2.00908637222946
11.2502	1.7672348427281646	1.9374451201161174
11.3064	1.7927644574265544	1.8626310077286312
11.3627	1.8424638627993584	1.806510958656723
11.4189	1.903706833864879	1.7810813933513447
11.4752	1.9405623710887598	1.7962922681133824
11.5314	1.9287067171982715	1.8105146357299864
11.5877	1.905365343054389	1.7931118948658062
11.6439	1.901784648390865	1.7491296932904645
11.7002	1.9337066208442446	1.7012218000841115
11.7564	1.9684798131491308	1.6855169832545036
11.8127	1.9815640932183285	1.6639482400389078
